query,times
语法错误，存在无效符号“-”,941
语法错误，存在无效符号“^”,339
语法错误，限制条件格式错误,189
*。,2
*女,1
(v)着{len($1)>1},1
(u)汗{len($1)>1},1
*任务,1
(p)猪{len($1)<2},1
*？,1
经济(n){len($1)=2},1
(n)慢{len($1)>1},1
花房(l){len($1)=2},1
(n)着{len($1)>3},1
(v)假{len($1)>1},1
(ns)哪个{len($1)<3},1
软件*再,1
*徐鹏飞,1
调节*供需,1
做(n){len($1)=1},1
(d)昨天{len($1)<3},1
(a)睡觉{len($1)>2},1
男人们@意商,1
(v)。{len($1)>1},1
(n)自{len($1)<3},1
(r)特{len($1)=1},1
在@一个,1
(d)需要{len($1)>1},1
为(n){len($1)=1},1
(w)女人{len($1)>1},1
(n)着{len($1)<4},1
(ns)走{len($1)>1},1
(w)着{len($1)<2},1
(n)着{len($1)<2},1
(vn)哈{len($1)<3},1
(r)着{len($1)<3},1
(v)着{len($1)=2},1
(v)香{len($1)>1},1
(n)着{len($1)=2},1
(d)着{len($1)=2},1
(ns)后天{len($1)=2},1
(v)几天{len($1)>1},1
(w)着{len($1)=1},1
(n)移动{len($1)<3},1
(v)从{len($1)<3},1
(l)市{len($1)=2},1
(w)手{len($1)>1},1
(v)旁边{len($1)=2},1
(q)着{len($1)>1},1
(n)着{len($1)<3},1
(nr)着{len($1)<2},1
*革命,1
(n)回去{len($1)>3},1
(y)对{len($1)=1},1
(n)多久{len($1)=1},1
学生(n){len($1)=2},1
(ad)其他{len($1)=2},1
(n)单{len($1)=2},1
(d)子{len($1)>1},1
(an)怎{len($1)<3},1
(n)看来{len($1)<3},1
创新*。,1
(f)着{len($1)>2},1
(v)着{len($1)>2},1
(n)女孩{len($1)<3},1
(n)我{len($1)>1},1
不(Dg){len($1)=1},1
(n)才能{len($1)=2},1
(n)滴{len($1)<3},1
(v)多{len($1)>1},1
(n)心情{len($1)>2},1
(n)起{len($1)=2},1
(w)干什么{len($1)>1},1
(w)写{len($1)>1},1
(nr)着{len($1)=1},1
(v)该{len($1)<3},1
(v)干什么{len($1)<3},1
(nt)查{len($1)=3},1
(u)挺{len($1)>1},1
*邓家祥,1
卫星(n){len($1)=2},1
、*地方政府,1
(r)交{len($1)<3},1
(m)本{len($1)>2},1
(n)然后{len($1)<3},1
(ns)学习{len($1)=2},1
(u)确实{len($1)>1},1
(v)命{len($1)=2},1
(v)起来{len($1)<3},1
(w)月{len($1)<2},1
(v)哎{len($1)>2},1
(nr)着{len($1)>3},1
国家(i){len($1)=2},1
喻(t){len($1)=1},1
*行不通,1
(u)着{len($1)>1},1
(y)考试{len($1)<2},1
(v)当然{len($1)>2},1
现在(t){len($1)=2},1
(p)退{len($1)>1},1
谴责(t)日本(c){$1=$2},1
的(q){len($1)=1},1
(n)偷{len($1)=2},1
(v)短信{len($1)=1},1
(j)查{len($1)>3},1
(v)开始{len($1)=2},1
(n)着{len($1)>2},1
(v)海{len($1)<3},1
(q)后悔{len($1)<2},1
(n)身上{len($1)=2},1
(f)噢{len($1)=1},1
(p)困{len($1)>1},1
(ad)公{len($1)=2},1
本@一,1
国家*竞争力,1
(an)着{len($1)=2},1
(w)昨天{len($1)>1},1
(v)夜{len($1)<2},1
(n)货{len($1)=2},1
(n)正常{len($1)=3},1
*政府,1
惠农@避免,1
(v)起来{len($1)>2},1
(a)着{len($1)=2},1
(vd)着{len($1)>2},1
一道道(n)巍然(an){$1=$2},1
(m)着{len($1)>2},1
采访@。,1
*还是,1
*民意,1
(v)林{len($1)>2},1
(m)着{len($1)=2},1
(w)生日{len($1)=1},1
*为了,1
(v)着{len($1)>3},1
(an)网{len($1)>2},1
(v)火{len($1)=2},1
(w)垃圾{len($1)<2},1
马鬃山(q)玉矿(v){$1=$2},1
村民@。,1
天术(ad)！(Tg){$1=$2},1
(p)花{len($1)=1},1
(v)进{len($1)>2},1
中院@说,1
*经济,1
(a)肚子{len($1)<2},1
纪念@。,1
(i)流{len($1)<3},1
(l)着{len($1)>4},1
最先(j){len($1)=2},1
(w)着{len($1)>1},1
(b)不管{len($1)>2},1
(u)着{len($1)<2},1
(n)着{len($1)=3},1
高(nt){len($1)=1},1
(v)热{len($1)>2},1
(v)着{len($1)=1},1
(i)螃蟹{len($1)>2},1
*三大,1
拳拳(ns){len($1)=2},1
(u)公{len($1)>1},1
(w)对不起{len($1)=1},1
澄心(an)草木(un){$1=$2},1
(vn)太{len($1)>2},1
*靠,1
(r)着{len($1)=2},1
(v)后天{len($1)>2},1
(n)兄弟{len($1)<3},1
(n)热{len($1)>2},1
(w)差{len($1)<2},1
*哪里,1
民工(n)代表(q){$1=$2},1
