query,times
失去 (u) 劳动{count>6},2
(v)+的+是+哪个+本+(w){$1!=$2},2
(v) 的 是 哪个 本 (w){$1!=$2},2
出 (v){count>4},2
(忽)忽{ $1!=$2},2
家中 (w){count>8},2
(ns) 总理 莫迪 (v){len($2)=2},2
点燃+(v)+引擎{count<447},2
点燃 (v) 引擎{count<447},2
对此+(w)+中科院{count>10},2
对此 (w) 中科院{count>10},2
干部 (v) 作为{len($1)=1},2
(n)到底是(n){$1=$2},2
机遇 (w){count<228},2
(vn)+(vn){len($1)=3},2
(vn) (vn){len($1)=3},2
俱乐部+(v)+。{end($1)=[始+去]},1
俱乐部 (v) 。{end($1)=[始 去]},1
(v)+无+围墙+机关+岁末+(t){count>9},1
(v) 无 围墙 机关 岁末 (t){count>9},1
不(v). (v)谁{$1=$2},1
(a)+(u){len($1)=2},1
(a) (u){len($1)=2},1
(m)+着力{count>9},1
(m) 着力{count>9},1
同志+(v){begin($1)!=[汗+惨+借+拜]},1
同志 (v){begin($1)!=[汗 惨 借 拜]},1
磋商+(w){count<824},1
磋商 (w){count<824},1
全员+(v){end($1)=[与+敢+定]},1
全员 (v){end($1)=[与 敢 定]},1
拓展+(n)+、{begin($1)!=[男+跳+钟]},1
拓展 (n) 、{begin($1)!=[男 跳 钟]},1
爱浇+(v)+，{len($1)!=3},1
爱浇 (v) ，{len($1)!=3},1
..v了 (n) (m){$1=[n];($2)=[m]},1
啦+(w){count>10},1
啦 (w){count>10},1
爸妈+(n)+围巾{end($1)=[条+告]},1
爸妈 (n) 围巾{end($1)=[条 告]},1
重组+(v)+不{count<439},1
重组 (v) 不{count<439},1
(d)+无家可归+(w){end($1)!=[混+凶]},1
(d) 无家可归 (w){end($1)!=[混 凶]},1
俊祥+(v)+。{len($1)=1},1
俊祥 (v) 。{len($1)=1},1
工作+(d)+就绪{count<583},1
工作 (d) 就绪{count<583},1
，+(v)+真实{count<305},1
， (v) 真实{count<305},1
的+(n)+着{len($1)=3},1
的 (n) 着{len($1)=3},1
催生+(n)+转型{len($1)!=3},1
催生 (n) 转型{len($1)!=3},1
(n)+异地+就医+即时+(v){count>4},1
(n) 异地 就医 即时 (v){count>4},1
(n)+通信{len($1)>1},1
(n) 通信{len($1)>1},1
儿童+(n)+教育{end($1)!=[选+满+姓+怎]},1
儿童 (n) 教育{end($1)!=[选 满 姓 怎]},1
更+(a){count<506},1
更 (a){count<506},1
