query,times
你. 下去w,1
哪怕.....也.......,1
那m q *的n,1
她.. 下来w,1
你们.. 起来w,1
我.. 出去w,1
我们. v了,1
我. v了,1
她. 起来w,1
a f v~a,1
"被@",1
那.........m q n,1
她. 上来w,1
.v...........。,1
V成*似的 ,1
我们.. 上去w,1
我.. 上来w,1
w v啥.w,1
他们.. 出去w,1
你. 出去w,1
他. 过来w,1
我.. 过来w,1
他们.. 过去w,1
他们.. 下去w,1
她们.. 进来w,1
你.. 回来w,1
v ~,1
v n v ~ 了,1
我.. 上去w,1
ns 再.吧,1
他. 上来w,1
他.. 进去w,1
我. 回去w,1
a * m倍,1
*差异   *差别,1
那.m q n,1
他. 进来w,1
她.. 上来w,1
你. 出来w,1
是 * v 的 ng w,1
朝@ v,1
你们.. 过去w,1
他们.. 下来w,1
我.. 起来w,1
把 * 被,1
我. 过来w,1
她们.. 起来w,1
你. 上去w,1
被* v v v,1
n包围*n,1
他. 回去w,1
她们.. 下来w,1
她.. 过去w,1
把(N.) V.,1
你们.. 回去w,1
他. 回来w,1
他们.. 过来w,1
w @甭,1
你.. 上来w,1
我们.. 起来w,1
n们. .v了,1
我们.. 下来w,1
她. 进去w,1
他. 起来w,1
她. 下去w,1
我们.. 过去w,1
他们. .v了,1
他.. 起来w,1
头 *,1
v起.来 ,1
那...m q n,1
.意思是,1
.别说,1
"糟了.",1
.绝了！,1
.n+n。,1
.n n。,1
那........m q n,1
无 .. 不 ..,1
他们.. 起来w,1
回*神.,1
v进.来 ,1
我.. 下来w,1
你. 回去w,1
v 再.吧,1
她.. 过来w,1
,比方~,1
哪怕.......也....,1
她们.. 出来w,1
把*v a 了,1
v下.来,1
v在 @,1
她.. 回去w,1
她.. 进来w,1
你. 下来w,1
你. 过来w,1
是+*+@+的w,1
是 * @ 的w,1
我.. 进去w,1
是 * 的，,1
你.. 回去w,1
她. 回去w,1
你. v了,1
他. 下去w,1
l 再.吧,1
吃不. ,1
我们.. 进去w,1
d 再.吧,1
..v  给p,1
,~,1
她们.. 回去w,1
V在 @,1
是 * v 的 w,1
V .....观念,1
你. 上来w,1
向..   一v,1
他.. 过来w,1
我们.. 过来w,1
adj.   耶,1
我们.. 下去w,1
他. 过去w,1
那....m q n,1
w v得. .w,1
我.. 出来w,1
我们.. 回去w,1
是*的",1
他.. 出来w,1
他.. 进来w,1
那 m q *的n,1
她. v了,1
我们.. 进来w,1
她们一个*;,1
出.命,1
把~*v,1
w再.吧,1
w 再.吧,1
你们. .v了,1
他.. 过去w,1
你.. 出去w,1
v n~的v,1
v * m倍,1
她. 回来w,1
哪怕......也.......,1
那 ..m q n,1
*鼠,1
v ad 再.吧,1
她.. 出去w,1
他. 下来w,1
该n @,1
u 再.吧,1
我. 进来w,1
V .....观点,1
她们.. 过来w,1
那......m q n,1
你们.. 回来w,1
我们.. 出来w,1
好像@ m q,1
她. 上去w,1
她. 进来w,1
她们.. 回来w,1
她.. 上去w,1
他. 上去w,1
是 * 的。,1
无 ..不 ..,1
注册*,1
你.. 过来w,1
他们.. 上来w,1
我.. 下去w,1
我. 下来w,1
她.. 回来w,1
f 再.吧,1
我. 过去w,1
你.. 进来w,1
我. 上去w,1
你一个*家,1
t 再.吧,1
我们.. 回来w,1
他们.. 回去w,1
n 再.吧,1
他们.. 进来w,1
你. 过去w,1
s 再.吧,1
我. 下去w,1
在* f v,1
她们.. 下去w,1
v出.来,1
她们.. 过去w,1
这* m q n,1
不仅 * 而且,1
有@ v,1
你.. 下来w,1
r 再.吧,1
他们.. 出来w,1
