query,times
n 耕种,2
v n v 得,2
N V N 给 N,2
(v)也不是不(v)也不是,1
(v)也好不(v)也好,1
靳宇文+(v)+。,1
那+(n)+。,1
李正朝+(v)+。,1
李正朝 (v) 。,1
(w)+说(n)是(n),1
,+(i)+。,1
, (i) 。,1
不管+(v)+。,1
不管 (v) 。,1
r  n,1
经验 d,1
m q状况,1
创造 a,1
w v得稍a w,1
j 死了,1
ns 的准备,1
雄伟的 n,1
和 n v,1
我堂堂一个n,1
m个+d+n+,1
m 个 d n ,1
半夜 d,1
投放在n f,1
d r,1
大都把n v了,1
v了不a n,1
什么 n 都 v,1
不可把n v了,1
该 n s,1
一 a n,1
v 分析,1
讨厌n v,1
不住把n v了,1
给n v,1
ns 更,1
p r,1
该 n n,1
成天把n v了,1
V 黑|白|红|蓝|绿|橙|粉|黄|紫|灰了,1
d p 他,1
v 出 s,1
有什么好 Ng 的,1
ad 栽种,1
喝 n 喝,1
v在 n f,1
d p 我,1
多 v,1
从来把n v了,1
有什么好 vn 的,1
v得a a的,1
必然把n v了,1
:+n是n+?,1
: n是n ？,1
v  了 m  晚上 的 N,1
不妨把n v了,1
v 回 s,1
小 n v着,1
N V 给 N N,1
n n n,1
努力n v a,1
V N 下去,1
(v) n (v)了,1
躺 s,1
， n是n ？,1
耕种 n,1
从 那里V,1
v n,1
只 Ng,1
n 的,1
那之后m q,1
但凡 V,1
我们n n v,1
a a些w,1
ad 可以说，,1
v 建树,1
就 v 了,1
v 位 a,1
V 了 不,1
m 腔 n,1
v+n+v 得,1
a 不 平,1
r 也 不 瞧瞧,1
亲手 V,1
的 n,1
m 包,1
没 + d + v,1
没 d v,1
爱 V 就 V,1
d + a 的,1
d a 的,1
a 召开,1
a 书法,1
w 你说 实话,1
a 前景,1
将 这 q,1
这样 v + w,1
这样 v w,1
a 出发,1
m + 棵 + n,1
m 棵 n,1
a 厂家,1
a 会话,1
惊心 n,1
…… v + n 的 n,1
…… v n 的 n,1
a 冲击,1
n 色 衣服,1
把握 N,1
不 v 此 n,1
v + n 一下,1
v n 一下,1
啥 n 不 v,1
按时把n v了,1
异常a n,1
a n,1
为了n ,1
吃 Ng,1
只 r,1
令 N V,1
v v了,1
特别  n,1
a 目的,1
一次a 一次a,1
see see,1
v+m 肩,1
v m 肩,1
a 死 r 了,1
v 什么 n,1
V 累,1
a 效果,1
怒火 V 下,1
a 度,1
一 尺 n,1
在 + n + 里,1
在 n 里,1
a 兴办,1
生死 a,1
拿过 N 来,1
看 n 多么 a,1
极其 n,1
v + 他 + m + q,1
v 他 m q,1
因为 c,1
nr 诬赖,1
n 肉块,1
还不是 n,1
哭 a 了,1
特别 + a,1
特别 a,1
一 弯 n,1
w + v 得 真 a + w,1
w v 得 真 a w,1
a 典礼,1
一 摊 n,1
a 元件,1
a 勤奋,1
在 n 中,1
m 节 n,1
住在 n ,1
r v r 的,1
a 制造,1
q q,1
w v得正a w,1
少 v,1
v 了 m,1
w n 盖了w,1
， n是n ；,1
p n v n n,1
v m 眼,1
V V,1
时间就像一q+时间就像一q ,1
n 什么时候 v,1
有什么好 Vg 的,1
v过m m q,1
该 n i,1
实施 u,1
什么时候nr v,1
创造 n,1
a 经验,1
w 你一个n w,1
没人v r,1
v n v 了,1
被n v一下,1
算什么 N,1
v 了 m q,1
使n v,1
把 n 踩,1
特 a,1
a a的,1
口味 i,1
朝 r v,1
把 N V,1
w v得挺a w,1
c a点w,1
根据n ,1
该 q n,1
